Rotherham 	53.432602	-1.363501
Tarragona 	41.118664	1.24533
Zoetermeer 	52.06067	4.494025
Bremerhaven 	53.55	8.583
Pescara 	42.461792	14.21609
Nyíregyháza 	47.937201	21.651142
Botosani 	47.74623	26.66681
Marbella 	36.509937	-4.886352
Remscheid 	51.17892	7.189034
Panevežys 	0	0
Chorzów 	50.29749	18.954573
Lleida 	41.61415	0.6257825
Caen 	49.18286	-0.370679
Cambridge	52.205337	0.121817
Fürth 	53.426678	-113.51657
Bergamo 	45.698265	9.67727
Orléans 	0	0
Jaén 	14.364096	102.17706
Satu Mare 	47.79209	22.88519
Reutlingen 	48.50694	9.203804
Daugavpils 	55.871853	26.51782
Râmnicu Vâlcea 	0	0
Zwolle 	52.516773	6.083022
Mulhouse 	47.75084	7.335888
Ourense 	42.339985	-7.864707
Kalisz 	51.76728	18.085346
Forlì 	44.225136	12.043785
Salzgitter 	52.15	10.3333
Koszalin 	54.19432	16.171492
Moers 	51.451603	6.640815
Piatra Neamt 	46.9275	26.370832
Vicenza 	45.54548	11.535421
Västerås 	51.177788	4.1893334
Suceava 	47.65139	26.255556
Exeter 	50.71841	-3.533899
Namur 	50.46533	4.867665
Kallithea 	37.955654	23.698763
Algeciras 	36.12978	-5.447698
Rouen 	49.443233	1.099971
Eastbourne 	50.768036	0.290472
Drobeta-Turnu Severin 	44.635654	22.66018
Koblenz 	50.360023	7.589907
Kecskemét 	46.906208	19.689978
Boulogne-Billancourt 	48.84325	2.237803
Siegen 	50.88385	8.020959
Legnica 	51.20701	16.155323
Bergisch Gladbach 	50.995514	7.1124883
Sutton Coldfield 	52.570385	-1.824042
Cottbus 	51.75631	14.332868
Liberec 	50.76628	15.054338
Perpignan 	42.698685	2.8958719
Blackburn 	53.748573	-2.487529
Terni 	42.563618	12.64266
Trento 	46.06969	11.121089
Almere 	52.371353	5.222124
Colchester 	51.895927	0.891874
Gera 	50.88507	12.08072
Nancy 	48.692055	6.184417
Oldham 	53.544544	-2.118732
Trier 	49.746883	6.634751
Szekesfehervar 	47.188717	18.413809
Dos Hermanas 	37.283176	-5.922242
Erlangen 	49.590717	11.014268
St Helens 	45.859444	-122.81695
Hildesheim 	52.140953	9.965868
Jena 	50.927055	11.589237
Lahti 	60.982655	25.661465
Sliven 	42.680527	26.31633
Olomouc 	49.59322	17.253368
Dobrich 	43.569023	27.827242
Tartu 	58.370846	26.714722
Hertogenbosch 	51.69793	5.317006
Almada 	38.67929	-9.161646
Linköping 	22.52848	120.80424
Torrejón de Ardoz 	40.459206	-3.4800398
Novara 	45.45213	8.622684
Wittenburg 	51.443893	7.353197
Crawley 	51.115417	-0.192876
Ancona 	43.61583	13.518915
Slupsk 	54.46415	17.028482
Bolzano 	46.49466	11.345534
Oslo	59.913868	10.752245
Bergen	60.391262	5.3220544
Stavanger	58.969975	5.733107
Trondheim	63.430515	10.395053
Zurich	47.36865	8.539183
Geneva	46.19839	6.1422963
Basel	47.557423	7.5925727
Bern	46.94792	7.4446087
Lausanne	46.519962	6.633597
Lucerne	47.050335	8.315613
Venice	45.437033	12.330065	
Westminster	51.498609	-0.133906
Avignon	43.949317	4.805528
Leuven	50.877571	4.704328
Kassa	48.722259	21.256986
Treviglio	45.521150	9.595119
Poitiers	46.580224	0.340375
Tübingen	48.521636	9.057645
Hague	52.070498	4.300700
Moscow	55.742793	37.615401
Montpellier	43.610769	3.876716
Bracciano	42.101798	12.176142
Verona	45.438356	10.991658
Cremona	45.133249	10.022651
Valenciennes	50.357113	3.518332
Fermo	43.163401	13.717332
Brescia	45.541188	10.219444
Mechelen	51.016667	4.466667
Cuenca	40.071835	-2.134005
Zutphen	52.139983	6.195501
Memmingen	47.983800	10.180188
Lubeck	53.865886	10.687096
Soncino	45.399776	9.873389
Speyer	49.320479	8.436217
Siena	43.318809	11.330757
Pavia	45.184725	9.158207
Wurzburg	49.791595	9.953571
Lucca	43.839379	10.495743
Gotha	50.946919	10.709288
Charenton	48.819918	2.415856
Helmstedt	52.228966	11.009544
Kiev	50.450100	30.523400
Pesaro	43.877531	12.874494
Mantova	45.156417	10.791375
Lauingen	48.566700	10.433300
Esslingen	48.743342	9.320112
